WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5017
Press CTRL+C to quit
127.0.0.1 - - [09/Jul/2026 14:32:42] "GET /login HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/favicon.ico?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/favicon.ico?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:57] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:58] "GET /glass-measurements HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:34:58] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:58] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:58] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:34:59] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:00] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:08] "GET /materials HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:35:08] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:08] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:08] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:08] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:08] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:09] "GET /avr HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:35:09] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:09] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:09] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:09] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:09] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:11] "GET /apartments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:35:11] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:11] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:11] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:11] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:12] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:14] "GET /apartments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:35:14] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:14] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:14] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:14] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:15] "GET /static/favicon.ico?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:15] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:15] "GET /assignments HTTP/1.1" 200 -
127.0.0.1 - - [09/Jul/2026 14:35:15] "GET /static/style.css?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:15] "GET /static/brand-logo.png HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:15] "GET /static/script.js?v=v317-refresh-body-scroll-fix HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:15] "GET /static/site.webmanifest?v=v202-ios-install-button-polish HTTP/1.1" 304 -
127.0.0.1 - - [09/Jul/2026 14:35:15] "GET /static/apple-touch-icon.png?v=v202-ios-install-button-polish HTTP/1.1" 304 -
